,state_clean,Complete,No Activity,No Biometric,Only Demographic,Only Enrolment,Unclear
0,Andaman & Nicobar Islands,30.23 %,20.93 %,0.0 %,0.0 %,0.0 %,48.84 %
1,Andhra Pradesh,63.94 %,4.98 %,0.19 %,0.72 %,0.69 %,29.49 %
2,Arunachal Pradesh,83.33 %,2.56 %,0.0 %,0.0 %,0.0 %,14.1 %
3,Assam,74.32 %,10.71 %,1.35 %,1.46 %,1.98 %,10.19 %
4,Bihar,75.9 %,9.6 %,0.65 %,1.01 %,4.69 %,8.15 %
5,Chandigarh,53.33 %,3.33 %,0.0 %,0.0 %,0.0 %,43.33 %
6,Chhattisgarh,60.06 %,14.94 %,0.31 %,2.99 %,1.1 %,20.6 %
7,Dadra & Nagar Haveli and Daman & Diu,60.0 %,10.0 %,0.0 %,0.0 %,3.33 %,26.67 %
8,Delhi,85.5 %,1.53 %,0.0 %,0.0 %,7.63 %,5.34 %
9,Goa,56.76 %,9.91 %,0.0 %,0.0 %,0.0 %,33.33 %
10,Gujarat,76.78 %,6.18 %,0.39 %,0.99 %,2.11 %,13.55 %
11,Haryana,75.06 %,7.09 %,0.0 %,1.47 %,1.71 %,14.67 %
12,Himachal Pradesh,44.99 %,1.23 %,0.0 %,0.41 %,0.2 %,53.17 %
13,Jammu & Kashmir,54.9 %,20.73 %,0.0 %,0.68 %,2.73 %,20.96 %
14,Jharkhand,63.73 %,19.84 %,0.26 %,0.92 %,1.97 %,13.27 %
15,Karnataka,74.13 %,5.77 %,0.28 %,0.81 %,2.44 %,16.57 %
16,Kerala,92.88 %,0.68 %,0.07 %,0.14 %,0.2 %,6.03 %
17,Ladakh,66.67 %,6.67 %,0.0 %,0.0 %,0.0 %,26.67 %
18,Lakshadweep,44.44 %,0.0 %,0.0 %,0.0 %,0.0 %,55.56 %
19,Madhya Pradesh,76.11 %,7.53 %,0.17 %,1.2 %,0.6 %,14.38 %
20,Maharashtra,73.79 %,8.81 %,0.33 %,2.75 %,0.75 %,13.56 %
21,Manipur,73.81 %,10.32 %,0.0 %,3.17 %,2.38 %,10.32 %
22,Meghalaya,65.52 %,15.52 %,0.0 %,1.72 %,4.31 %,12.93 %
23,Mizoram,61.9 %,8.33 %,1.19 %,1.19 %,0.0 %,27.38 %
24,Nagaland,75.95 %,3.8 %,0.0 %,2.53 %,0.0 %,17.72 %
25,Odisha,55.57 %,15.78 %,0.35 %,1.83 %,1.09 %,25.39 %
26,Puducherry,62.77 %,13.83 %,0.0 %,3.19 %,0.0 %,20.21 %
27,Punjab,69.23 %,6.41 %,0.0 %,0.51 %,0.26 %,23.59 %
28,Rajasthan,76.67 %,7.63 %,0.81 %,6.0 %,0.96 %,7.93 %
29,Sikkim,66.2 %,14.08 %,2.82 %,1.41 %,2.82 %,12.68 %
30,Tamil Nadu,82.32 %,3.22 %,0.1 %,0.61 %,0.31 %,13.44 %
31,Telangana,85.27 %,2.02 %,0.0 %,0.7 %,0.47 %,11.55 %
32,Tripura,80.6 %,2.99 %,0.0 %,0.75 %,0.0 %,15.67 %
33,Uttar Pradesh,78.35 %,7.25 %,0.27 %,1.37 %,1.76 %,10.98 %
34,Uttarakhand,67.25 %,10.58 %,0.0 %,2.02 %,0.76 %,19.4 %
35,West Bengal,65.77 %,11.89 %,0.27 %,1.06 %,3.1 %,17.92 %
